codgr	libgr	sougr	libsougr	codal	libal	libgren	libsougren	codsougr
8	pâtisseries et gâteaux	1	gâteaux	23121	gâteau breton ou far aux pruneau	cake and pastry	cake	81
8	pâtisseries et gâteaux	1	gâteaux	23200	pain d'épices	cake and pastry	cake	81
8	pâtisseries et gâteaux	1	gâteaux	23531	charlotte aux fruits artisanale	cake and pastry	cake	81
8	pâtisseries et gâteaux	1	gâteaux	23585	gâteau au chocolat	cake and pastry	cake	81
8	pâtisseries et gâteaux	1	gâteaux	23589	gâteau au fromage blanc	cake and pastry	cake	81
8	pâtisseries et gâteaux	1	gâteaux	23684	galette des rois feuilletée fourrée à la frangipane	cake and pastry	cake	81
8	pâtisseries et gâteaux	1	gâteaux	23909	cake aux fruits	cake and pastry	cake	81
8	pâtisseries et gâteaux	1	gâteaux	23939	gâteau moelleux fourré au chocolat ou aux pépites de chocolat noir ou au lait	cake and pastry	cake	81
8	pâtisseries et gâteaux	1	gâteaux	23940	gâteau moelleux fourré au chocolat multicouches type napolitain lu ou kinder dél	cake and pastry	cake	81
8	pâtisseries et gâteaux	1	gâteaux	23941	gâteau moelleux fourré aux fruits type mini roulé fraise captain choc	cake and pastry	cake	81
8	pâtisseries et gâteaux	1	gâteaux	23950	muffin	cake and pastry	cake	81
8	pâtisseries et gâteaux	1	gâteaux	24630	madeleine	cake and pastry	cake	81
8	pâtisseries et gâteaux	1	gâteaux	24680	gâteau moelleux génoise fourrée à l'orange type chamonix	cake and pastry	cake	81
8	pâtisseries et gâteaux	1	gâteaux	24686	gâteau moelleux génoise fourrée à l'orange enrobée de chocolat type pim's	cake and pastry	cake	81
8	pâtisseries et gâteaux	1	gâteaux	90024	madeleine fourrée aux fruits type coqueline à la fraise	cake and pastry	cake	81
8	pâtisseries et gâteaux	1	gâteaux	90031	gâteau à la crème	cake and pastry	cake	81
8	pâtisseries et gâteaux	1	gâteaux	92034	autre gâteau	cake and pastry	cake	81
8	pâtisseries et gâteaux	2	pâtisseries et tartes	23024	macaron moelleux fourré à la confiture ou à la crème artisanal	cake and pastry	pastry	82
8	pâtisseries et gâteaux	2	pâtisseries et tartes	23300	pâtisserie orientale aux amandes et au sirop	cake and pastry	pastry	82
8	pâtisseries et gâteaux	2	pâtisseries et tartes	23455	chou à la crème chantilly ou pâtissière	cake and pastry	pastry	82
8	pâtisseries et gâteaux	2	pâtisseries et tartes	23467	chouquette artisanale	cake and pastry	pastry	82
8	pâtisseries et gâteaux	2	pâtisseries et tartes	23477	éclair	cake and pastry	pastry	82
8	pâtisseries et gâteaux	2	pâtisseries et tartes	23490	tarte ou tartelette aux pommes	cake and pastry	pastry	82
8	pâtisseries et gâteaux	2	pâtisseries et tartes	23493	crumble aux pommes	cake and pastry	pastry	82
8	pâtisseries et gâteaux	2	pâtisseries et tartes	23499	tarte ou tartelette aux fruits	cake and pastry	pastry	82
8	pâtisseries et gâteaux	2	pâtisseries et tartes	23501	tarte à la crème	cake and pastry	pastry	82
8	pâtisseries et gâteaux	2	pâtisseries et tartes	23900	pâtisserie sans précision	cake and pastry	pastry	82
8	pâtisseries et gâteaux	2	pâtisseries et tartes	24666	millefeuille	cake and pastry	pastry	82
8	pâtisseries et gâteaux	2	pâtisseries et tartes	92035	autre pâtisserie	cake and pastry	pastry	82
8	pâtisseries et gâteaux	3	beignets, crêpes et gaufres	23800	crêpe au froment nature	cake and pastry	doughnut crepe waffle	83
8	pâtisseries et gâteaux	3	beignets, crêpes et gaufres	23801	crêpe ou galette bretonne au blé noir ou sarrasin	cake and pastry	doughnut crepe waffle	83
8	pâtisseries et gâteaux	3	beignets, crêpes et gaufres	23805	blinis	cake and pastry	doughnut crepe waffle	83
8	pâtisseries et gâteaux	3	beignets, crêpes et gaufres	23815	crêpe au froment sucrée non fourrée	cake and pastry	doughnut crepe waffle	83
8	pâtisseries et gâteaux	3	beignets, crêpes et gaufres	23820	crêpe au froment fourrée à la confiture	cake and pastry	doughnut crepe waffle	83
8	pâtisseries et gâteaux	3	beignets, crêpes et gaufres	23821	crêpe au froment fourrée au chocolat ou ou à la pâte à tartiner chocolat et nois	cake and pastry	doughnut crepe waffle	83
8	pâtisseries et gâteaux	3	beignets, crêpes et gaufres	23855	gaufre bruxelloise ou liégeoise avec ou sans chocolat préemballée	cake and pastry	doughnut crepe waffle	83
8	pâtisseries et gâteaux	3	beignets, crêpes et gaufres	23880	beignet sucré nature	cake and pastry	doughnut crepe waffle	83
8	pâtisseries et gâteaux	3	beignets, crêpes et gaufres	23881	beignet fourré à la confiture	cake and pastry	doughnut crepe waffle	83
