,Unnamed: 0,codgr,libgr,sougr,libsougr,codal,libal,libgren,libsougren,codsougr,codgr_,sougr_,codal_,codsougr_
86,86,7,biscuits sucrés ou salés et barres,1,biscuits sucrés,24231,goûter sec fourré au chocolat type prince ou bn au chocolat,biscuits,sweet biscuits,71,7,1721,721324231,721
87,87,7,biscuits sucrés ou salés et barres,1,biscuits sucrés,24310,gaufrette fourrée fourrage autre qu'aux fruits (chocolat vanille noisette…),biscuits,sweet biscuits,71,7,1721,721324310,721
88,88,7,biscuits sucrés ou salés et barres,1,biscuits sucrés,24320,gaufrette fourrée aux fruits type paille d'or aux framboises,biscuits,sweet biscuits,71,7,1721,721324320,721
89,89,7,biscuits sucrés ou salés et barres,1,biscuits sucrés,24430,biscuit sec aux œufs à la cuillère ou boudoir,biscuits,sweet biscuits,71,7,1721,721324430,721
90,90,7,biscuits sucrés ou salés et barres,1,biscuits sucrés,24441,langue de chat,biscuits,sweet biscuits,71,7,1721,721324441,721
91,91,7,biscuits sucrés ou salés et barres,1,biscuits sucrés,24615,tuile aux amandes,biscuits,sweet biscuits,71,7,1721,721324615,721
92,92,7,biscuits sucrés ou salés et barres,1,biscuits sucrés,24659,biscuit sec feuilleté type petits cœurs nature ou palmito,biscuits,sweet biscuits,71,7,1721,721324659,721
93,93,7,biscuits sucrés ou salés et barres,1,biscuits sucrés,24678,barquette à la pulpe de fruit fabrication industrielle,biscuits,sweet biscuits,71,7,1721,721324678,721
94,94,7,biscuits sucrés ou salés et barres,1,biscuits sucrés,24684,cookie,biscuits,sweet biscuits,71,7,1721,721324684,721
95,95,7,biscuits sucrés ou salés et barres,1,biscuits sucrés,92033,autre biscuit sucré,biscuits,sweet biscuits,71,7,1721,721392033,721
96,96,7,biscuits sucrés ou salés et barres,2,biscuits salés pour apéritif,4004,chips de pomme de terre salées,biscuits,crackers,72,7,1722,72234004,722
97,97,7,biscuits sucrés ou salés et barres,2,biscuits salés pour apéritif,38105,chips de maïs ou tortilla chips type nacho cheese ou dippas nature doritos,biscuits,crackers,72,7,1722,722338105,722
98,98,7,biscuits sucrés ou salés et barres,2,biscuits salés pour apéritif,38106,biscuit apéritif soufflé à base de pomme de terre type chipster lu,biscuits,crackers,72,7,1722,722338106,722
99,99,7,biscuits sucrés ou salés et barres,2,biscuits salés pour apéritif,38400,biscuit apéritif soufflé à base de maïs sans cacahuète,biscuits,crackers,72,7,1722,722338400,722
100,100,7,biscuits sucrés ou salés et barres,2,biscuits salés pour apéritif,38401,biscuit apéritif type cracker garni ou fourré au fromage type monaco lu,biscuits,crackers,72,7,1722,722338401,722
101,101,7,biscuits sucrés ou salés et barres,2,biscuits salés pour apéritif,38402,biscuit apéritif type cracker nature type tuc ou triangolini,biscuits,crackers,72,7,1722,722338402,722
102,102,7,biscuits sucrés ou salés et barres,2,biscuits salés pour apéritif,38403,biscuit apéritif type cracker allégé en matière grasse,biscuits,crackers,72,7,1722,722338403,722
103,103,7,biscuits sucrés ou salés et barres,3,barres céréalières,31100,barre céréalière à base de céréales et de lait pour petit déjeuner avec ou sans,biscuits,cereal bars,73,7,1723,723331100,723
104,104,7,biscuits sucrés ou salés et barres,3,barres céréalières,31101,barre céréalière aux fruits enrichie en vitamines et minéraux,biscuits,cereal bars,73,7,1723,723331101,723
105,105,7,biscuits sucrés ou salés et barres,3,barres céréalières,31102,barre céréalière chocolatée enrichie en vitamines et minéraux,biscuits,cereal bars,73,7,1723,723331102,723
106,106,7,biscuits sucrés ou salés et barres,3,barres céréalières,31106,barre chocolatée céréalière type grany céréales chocolat,biscuits,cereal bars,73,7,1723,723331106,723
107,107,7,biscuits sucrés ou salés et barres,3,barres céréalières,31113,barre céréalière aux fruits,biscuits,cereal bars,73,7,1723,723331113,723
108,108,7,biscuits sucrés ou salés et barres,3,barres céréalières,31114,barre céréalière aux amandes ou noisettes,biscuits,cereal bars,73,7,1723,723331114,723
109,109,8,pâtisseries et gâteaux,1,gâteaux,23000,gâteau sans précision,cake and pastry,cake,81,8,1821,821323000,821
110,110,8,pâtisseries et gâteaux,1,gâteaux,23007,gâteau mousse aux fruits sur génoise type miroir aux fruits rouges de picard,cake and pastry,cake,81,8,1821,821323007,821
111,111,8,pâtisseries et gâteaux,1,gâteaux,23021,baba au rhum,cake and pastry,cake,81,8,1821,821323021,821
112,112,8,pâtisseries et gâteaux,1,gâteaux,23032,brownie au chocolat,cake and pastry,cake,81,8,1821,821323032,821
113,113,8,pâtisseries et gâteaux,1,gâteaux,23050,gâteau de savoie,cake and pastry,cake,81,8,1821,821323050,821
114,114,8,pâtisseries et gâteaux,1,gâteaux,23081,quatre-quarts fabrication industrielle,cake and pastry,cake,81,8,1821,821323081,821
115,115,8,pâtisseries et gâteaux,1,gâteaux,23121,gâteau breton ou far aux pruneau,cake and pastry,cake,81,8,1821,821323121,821
116,116,8,pâtisseries et gâteaux,1,gâteaux,23200,pain d'épices,cake and pastry,cake,81,8,1821,821323200,821
117,117,8,pâtisseries et gâteaux,1,gâteaux,23531,charlotte aux fruits artisanale,cake and pastry,cake,81,8,1821,821323531,821
118,118,8,pâtisseries et gâteaux,1,gâteaux,23585,gâteau au chocolat,cake and pastry,cake,81,8,1821,821323585,821
119,119,8,pâtisseries et gâteaux,1,gâteaux,23589,gâteau au fromage blanc,cake and pastry,cake,81,8,1821,821323589,821
120,120,8,pâtisseries et gâteaux,1,gâteaux,23684,galette des rois feuilletée fourrée à la frangipane,cake and pastry,cake,81,8,1821,821323684,821
121,121,8,pâtisseries et gâteaux,1,gâteaux,23909,cake aux fruits,cake and pastry,cake,81,8,1821,821323909,821
122,122,8,pâtisseries et gâteaux,1,gâteaux,23939,gâteau moelleux fourré au chocolat ou aux pépites de chocolat noir ou au lait,cake and pastry,cake,81,8,1821,821323939,821
123,123,8,pâtisseries et gâteaux,1,gâteaux,23940,gâteau moelleux fourré au chocolat multicouches type napolitain lu ou kinder dél,cake and pastry,cake,81,8,1821,821323940,821
124,124,8,pâtisseries et gâteaux,1,gâteaux,23941,gâteau moelleux fourré aux fruits type mini roulé fraise captain choc,cake and pastry,cake,81,8,1821,821323941,821
125,125,8,pâtisseries et gâteaux,1,gâteaux,23950,muffin,cake and pastry,cake,81,8,1821,821323950,821
126,126,8,pâtisseries et gâteaux,1,gâteaux,24630,madeleine,cake and pastry,cake,81,8,1821,821324630,821
127,127,8,pâtisseries et gâteaux,1,gâteaux,24680,gâteau moelleux génoise fourrée à l'orange type chamonix,cake and pastry,cake,81,8,1821,821324680,821
128,128,8,pâtisseries et gâteaux,1,gâteaux,24686,gâteau moelleux génoise fourrée à l'orange enrobée de chocolat type pim's,cake and pastry,cake,81,8,1821,821324686,821
129,129,8,pâtisseries et gâteaux,1,gâteaux,90024,madeleine fourrée aux fruits type coqueline à la fraise,cake and pastry,cake,81,8,1821,821390024,821
130,130,8,pâtisseries et gâteaux,1,gâteaux,90031,gâteau à la crème,cake and pastry,cake,81,8,1821,821390031,821
131,131,8,pâtisseries et gâteaux,1,gâteaux,92034,autre gâteau,cake and pastry,cake,81,8,1821,821392034,821
132,132,8,pâtisseries et gâteaux,2,pâtisseries et tartes,23024,macaron moelleux fourré à la confiture ou à la crème artisanal,cake and pastry,pastry,82,8,1822,822323024,822
133,133,8,pâtisseries et gâteaux,2,pâtisseries et tartes,23300,pâtisserie orientale aux amandes et au sirop,cake and pastry,pastry,82,8,1822,822323300,822
134,134,8,pâtisseries et gâteaux,2,pâtisseries et tartes,23455,chou à la crème chantilly ou pâtissière,cake and pastry,pastry,82,8,1822,822323455,822
135,135,8,pâtisseries et gâteaux,2,pâtisseries et tartes,23467,chouquette artisanale,cake and pastry,pastry,82,8,1822,822323467,822
136,136,8,pâtisseries et gâteaux,2,pâtisseries et tartes,23477,éclair,cake and pastry,pastry,82,8,1822,822323477,822
137,137,8,pâtisseries et gâteaux,2,pâtisseries et tartes,23490,tarte ou tartelette aux pommes,cake and pastry,pastry,82,8,1822,822323490,822
138,138,8,pâtisseries et gâteaux,2,pâtisseries et tartes,23493,crumble aux pommes,cake and pastry,pastry,82,8,1822,822323493,822
139,139,8,pâtisseries et gâteaux,2,pâtisseries et tartes,23499,tarte ou tartelette aux fruits,cake and pastry,pastry,82,8,1822,822323499,822
140,140,8,pâtisseries et gâteaux,2,pâtisseries et tartes,23501,tarte à la crème,cake and pastry,pastry,82,8,1822,822323501,822
141,141,8,pâtisseries et gâteaux,2,pâtisseries et tartes,23900,pâtisserie sans précision,cake and pastry,pastry,82,8,1822,822323900,822
142,142,8,pâtisseries et gâteaux,2,pâtisseries et tartes,24666,millefeuille,cake and pastry,pastry,82,8,1822,822324666,822
143,143,8,pâtisseries et gâteaux,2,pâtisseries et tartes,92035,autre pâtisserie,cake and pastry,pastry,82,8,1822,822392035,822
144,144,8,pâtisseries et gâteaux,3,"beignets, crêpes et gaufres",23800,crêpe au froment nature,cake and pastry,doughnut crepe waffle,83,8,1823,823323800,823
145,145,8,pâtisseries et gâteaux,3,"beignets, crêpes et gaufres",23801,crêpe ou galette bretonne au blé noir ou sarrasin,cake and pastry,doughnut crepe waffle,83,8,1823,823323801,823
146,146,8,pâtisseries et gâteaux,3,"beignets, crêpes et gaufres",23805,blinis,cake and pastry,doughnut crepe waffle,83,8,1823,823323805,823
147,147,8,pâtisseries et gâteaux,3,"beignets, crêpes et gaufres",23815,crêpe au froment sucrée non fourrée,cake and pastry,doughnut crepe waffle,83,8,1823,823323815,823
148,148,8,pâtisseries et gâteaux,3,"beignets, crêpes et gaufres",23820,crêpe au froment fourrée à la confiture,cake and pastry,doughnut crepe waffle,83,8,1823,823323820,823
149,149,8,pâtisseries et gâteaux,3,"beignets, crêpes et gaufres",23821,crêpe au froment fourrée au chocolat ou ou à la pâte à tartiner chocolat et nois,cake and pastry,doughnut crepe waffle,83,8,1823,823323821,823
150,150,8,pâtisseries et gâteaux,3,"beignets, crêpes et gaufres",23855,gaufre bruxelloise ou liégeoise avec ou sans chocolat préemballée,cake and pastry,doughnut crepe waffle,83,8,1823,823323855,823
151,151,8,pâtisseries et gâteaux,3,"beignets, crêpes et gaufres",23880,beignet sucré nature,cake and pastry,doughnut crepe waffle,83,8,1823,823323880,823
152,152,8,pâtisseries et gâteaux,3,"beignets, crêpes et gaufres",23881,beignet fourré à la confiture,cake and pastry,doughnut crepe waffle,83,8,1823,823323881,823
153,153,8,pâtisseries et gâteaux,3,"beignets, crêpes et gaufres",23883,beignet fourré aux fruits,cake and pastry,doughnut crepe waffle,83,8,1823,823323883,823
154,154,8,pâtisseries et gâteaux,3,"beignets, crêpes et gaufres",39236,pain perdu,cake and pastry,doughnut crepe waffle,83,8,1823,823339236,823
155,155,9,lait,1,lait en bouteille ou en brique,19011,lait de croissance infantile,milk,bottled milk,91,9,1921,921319011,921
156,156,9,lait,1,lait en bouteille ou en brique,19023,lait entier uht,milk,bottled milk,91,9,1921,921319023,921
